#   Phi[rad]  Energy[keV]            I          Q/I
# I is the mean intensity over the image in units of erg/s/cm^2/sr/keV
      1.0472      2.12953      1869.71    -0.983554
      1.0472      2.23092      1784.54    -0.981167
      1.0472      2.33715      1689.73    -0.978307
      1.0472      2.44844      1585.34    -0.974836
      1.0472      2.56502      1486.21    -0.970852
      1.0472      2.68716      1408.78    -0.966683
      1.0472      2.81511      1326.56    -0.961766
      1.0472      2.94915      1239.76    -0.955914
      1.0472      3.08958      1148.74    -0.948878
      1.0472      3.23669      1054.03    -0.940321
      1.0472      3.39081       956.37    -0.929775
      1.0472      3.55226      856.725    -0.916588
      1.0472      3.72141       756.39    -0.899833
      1.0472       3.8986       657.03    -0.878201
      1.0472      4.08424      560.758    -0.849861
      1.0472      4.27871      470.223    -0.812411
      1.0472      4.48245      391.113    -0.764733
      1.0472      4.69588       328.22    -0.708877
      1.0472      4.91948       274.48    -0.640231
      1.0472      5.15372      229.915    -0.558352
      1.0472      5.39912       194.27    -0.465373
      1.0472      5.65621      166.951    -0.367184
      1.0472      5.92553      146.902    -0.272679
      1.0472      6.20768      132.525    -0.189603
      1.0472      6.50326      121.599    -0.117863
      1.0472      6.81292       110.44      -0.0364
      1.0472      7.13732      98.8715    0.0603755
      1.0472      7.47717      87.4334     0.172648
      1.0472       7.8332      76.4972     0.300671
      1.0472      8.20619       66.546     0.439307
      1.0472      8.59693      57.3895     0.593067
      1.0472      9.00628      50.1741     0.723977
      1.0472      9.43512      46.0497     0.760768
      1.0472      9.88438      42.6132     0.766367
      1.0472       10.355      38.1658     0.812263
      1.0472      10.8481      33.6136     0.870749
      1.0472      11.3646      29.9183     0.889625
      1.0472      11.9058      26.3033     0.909842
      1.0472      12.4727      22.8304     0.931347
      1.0472      13.0666      19.5585     0.953538
      1.0472      13.6887      16.5466     0.974168
      1.0472      14.3405      13.8739     0.984739
      1.0472      15.0234      11.4698     0.994053
      1.0472      15.7387      9.36215     0.997946
      1.0472      16.4881      7.53188     0.998382
      1.0472      17.2732      5.95738     0.998803
      1.0472      18.0957      4.63117     0.998234
      1.0472      18.9574      3.54393     0.991884
      1.0472        19.86      2.65831     0.986424
      1.0472      20.8057      1.95121     0.983409
      1.0472      21.7964      1.39859     0.984961
      1.0472      22.8342     0.977035      0.99299
      1.0472      23.9215     0.667341     0.999029
      1.0472      25.0605     0.446276     0.998058
      1.0472      26.2538     0.290721     0.997855
      1.0472      27.5039     0.184211     0.998954
      1.0472      28.8135     0.114411     0.983441
      1.0472      30.1855    0.0681697     0.991441
      1.0472      31.6228     0.039371       0.9996
#   Phi[rad]  Energy[keV]            I          Q/I
       1.309     0.316228       1162.2    -0.999724
       1.309     0.331285      1185.15    -0.999701
       1.309      0.34706      1198.35    -0.999672
       1.309     0.363585       1201.8    -0.999638
       1.309     0.380897      1197.86    -0.999597
       1.309     0.399034      1177.85    -0.999546
       1.309     0.418034      1152.56    -0.999484
       1.309      0.43794      1127.77    -0.999412
       1.309     0.458792      1104.92    -0.999329
       1.309     0.480638      1074.04    -0.999227
       1.309     0.503524      1049.95    -0.999114
       1.309       0.5275       1024.5    -0.998981
       1.309     0.552617       1000.3    -0.998826
       1.309      0.57893      970.239    -0.998638
       1.309     0.606496      970.048    -0.998462
       1.309     0.635375      950.072     -0.99823
       1.309     0.665629      981.701    -0.998062
       1.309     0.697324      993.087    -0.997836
       1.309     0.730527      1055.55      -0.9977
       1.309     0.765312       1134.1    -0.997582
       1.309     0.801753      1258.42    -0.997539
       1.309     0.839929      1395.84    -0.997498
       1.309     0.879923      1521.26    -0.997413
       1.309     0.921821      1633.86     -0.99729
       1.309     0.965714      1765.53     -0.99718
       1.309       1.0117       1846.2    -0.996972
       1.309      1.05987      1928.28    -0.996748
       1.309      1.11034      2011.58    -0.996507
       1.309      1.16321      2087.49    -0.996232
       1.309      1.21859       2144.9      -0.9959
