# Energy[keV] nuFnu[keV2/keV/cm2/s] R G B
# 0.000 0.000 0.000
7.39655 0.00357472 1.000 0.000 0.000
7.43694 0.00407897 1.000 0.000 0.000
7.47755 0.00384468 1.000 0.000 0.000
7.51839 0.00387102 1.000 0.000 0.000
7.55533 0.00313995 1.000 0.000 0.000
7.59659 0.00386222 1.000 0.000 0.000
7.63807 0.00383595 1.000 0.000 0.000
7.6756 0.00392422 1.000 0.000 0.000
7.71752 0.00387983 1.000 0.000 0.000
7.75544 0.00392422 1.000 0.000 0.000
7.79779 0.00308331 1.000 0.000 0.000
7.8361 0.0034002 1.000 0.000 0.000
7.8789 0.0039511 1.000 0.000 0.000
7.91761 0.00370725 1.000 0.000 0.000
7.95651 0.00364038 1.000 0.000 0.000
7.99996 0.00378394 1.000 0.000 0.000
8.03927 0.00364867 1.000 0.000 0.000
8.07877 0.00397816 1.000 0.000 0.000
8.11847 0.00382723 1.000 0.000 0.000
8.1806 0.00322685 1.000 0.000 0.000
8.23872 0.00344694 1.000 0.000 0.000
8.2792 0.00409757 1.000 0.000 0.000
8.31988 0.00342349 1.000 0.000 0.000
8.36076 0.00393316 1.000 0.000 0.000
8.40184 0.00345479 1.000 0.000 0.000
8.43853 0.00328612 1.000 0.000 0.000
8.49849 0.00310443 1.000 0.000 0.000
8.5822 0.00357472 1.000 0.000 0.000
8.66203 0.00286681 1.000 0.000 0.000
8.7426 0.00311859 1.000 0.000 0.000
8.79992 0.00358286 1.000 0.000 0.000
8.86244 0.00305538 1.000 0.000 0.000
8.94488 0.0031831 1.000 0.000 0.000
9.02316 0.00316145 1.000 0.000 0.000
9.10213 0.00294616 1.000 0.000 0.000
9.18179 0.00291947 1.000 0.000 0.000
9.26214 0.00324157 1.000 0.000 0.000
9.3432 0.00287989 1.000 0.000 0.000
9.42497 0.00325635 1.000 0.000 0.000
9.50746 0.00319035 1.000 0.000 0.000
9.58544 0.00273929 1.000 0.000 0.000
9.66933 0.0030346 1.000 0.000 0.000
9.74865 0.0028603 1.000 0.000 0.000
9.82861 0.0031471 1.000 0.000 0.000
9.90923 0.00270215 1.000 0.000 0.000
9.99051 0.00287989 1.000 0.000 0.000
10.0725 0.00302082 1.000 0.000 0.000
10.1495 0.00295287 1.000 0.000 0.000
10.2328 0.00275178 1.000 0.000 0.000
10.3336 0.00264738 1.000 0.000 0.000
10.4354 0.00309737 1.000 0.000 0.000
