

#   Phi[rad]  Energy[keV]            I          Q/I
    0.261799      4.48245       671.52    -0.772001
    0.261799      4.69588      595.263    -0.762506
    0.261799      4.91948      524.953    -0.752492
    0.261799      5.15372      460.872    -0.742062
    0.261799      5.39912      403.116    -0.731363
    0.261799      5.65621      351.581    -0.720565
    0.261799      5.92553      305.964     -0.70982
    0.261799      6.20768      265.783    -0.699204
    0.261799      6.50326      230.421    -0.688641
    0.261799      6.81292      199.218    -0.677883
    0.261799      7.13732      171.633    -0.666662
    0.261799      7.47717      147.263    -0.654777
    0.261799       7.8332      125.801    -0.642102
    0.261799      8.20619      107.007    -0.628624
    0.261799      8.59693      90.6757    -0.614451
    0.261799      9.00628      76.6416    -0.599959
    0.261799      9.43512      64.7147    -0.585645
    0.261799      9.88438       54.595    -0.571533
    0.261799       10.355      45.9829    -0.557349
    0.261799      10.8481      38.6665    -0.543071
    0.261799      11.3646      32.4806    -0.528892
    0.261799      11.9058      27.2549    -0.514781
    0.261799      12.4727       22.844    -0.500698
    0.261799      13.0666      19.1262    -0.486649
    0.261799      13.6887      15.9998    -0.472706
    0.261799      14.3405      13.3771    -0.458975
    0.261799      15.0234      11.1807    -0.445526
    0.261799      15.7387      9.34372    -0.432429
    0.261799      16.4881      7.80861    -0.419721
    0.261799      17.2732      6.52604    -0.407409
    0.261799      18.0957      5.45471    -0.395502
    0.261799      18.9574      4.55983    -0.383998
    0.261799        19.86       3.8119     -0.37285
    0.261799      20.8057       3.1864    -0.362004
    0.261799      21.7964       2.6631    -0.351418
    0.261799      22.8342      2.22536     -0.34108
    0.261799      23.9215      1.85942    -0.331018
    0.261799      25.0605      1.55366    -0.321255
    0.261799      26.2538      1.29818    -0.311781
    0.261799      27.5039      1.08471     -0.30259
    0.261799      28.8135     0.906357    -0.293677
    0.261799      30.1855     0.757298    -0.285014
    0.261799      31.6228     0.632734    -0.276597
#   Phi[rad]  Energy[keV]            I          Q/I
    0.523599     0.316228      1100.75    -0.854388
    0.523599     0.331285      1128.76    -0.853347
    0.523599      0.34706         1152    -0.851922
    0.523599     0.363585      1170.09    -0.850108
    0.523599     0.380897      1182.84    -0.847925
    0.523599     0.399034      1190.27    -0.845415
    0.523599     0.418034      1192.86    -0.842684
    0.523599      0.43794      1191.28     -0.83984
    0.523599     0.458792      1186.13    -0.836862
    0.523599     0.480638      1177.97     -0.83357
    0.523599     0.503524      1167.66    -0.829494
    0.523599       0.5275      1156.31    -0.823981
    0.523599     0.552617      1145.78    -0.816702
    0.523599      0.57893       1137.9    -0.805409
    0.523599     0.606496      1134.73    -0.781245
    0.523599     0.635375      1137.97    -0.789112
    0.523599     0.665629      1149.91    -0.832021
    0.523599     0.697324      1172.15    -0.822223
    0.523599     0.730527       1206.8    -0.822795
    0.523599     0.765312      1254.37    -0.823082
    0.523599     0.801753      1314.42    -0.821694
    0.523599     0.839929      1384.47    -0.828604
    0.523599     0.879923      1461.41    -0.835707
    0.523599     0.921821      1542.39    -0.838311
    0.523599     0.965714      1624.99    -0.844115
    0.523599       1.0117      1706.15     -0.84851
    0.523599      1.05987      1784.54    -0.855396
    0.523599      1.11034      1858.88    -0.859931
    0.523599      1.16321      1927.32    -0.862782
    0.523599      1.21859       1987.7    -0.864442
    0.523599      1.27662      2038.11    -0.865334
    0.523599       1.3374      2077.63    -0.865694
    0.523599      1.40109      2106.69    -0.865626
    0.523599       1.4678      2125.93     -0.86523
    0.523599      1.53769      2135.79    -0.864561
    0.523599      1.61091      2136.61    -0.863441
    0.523599      1.68761      2128.62    -0.862071
    0.523599      1.76797      2111.98    -0.860604
    0.523599      1.85215      2086.84    -0.859032
    0.523599      1.94034      2053.32    -0.857341
    0.523599      2.03274      2011.62    -0.855507
