

#   Phi[rad]  Energy[keV]            I          Q/I
    0.785398      2.44844      1752.43    -0.970458
    0.785398      2.56502      1656.54    -0.970006
    0.785398      2.68716      1575.57     -0.96955
    0.785398      2.81511      1489.33    -0.968994
    0.785398      2.94915      1398.04    -0.968313
    0.785398      3.08958      1302.05    -0.967473
    0.785398      3.23669      1201.95    -0.966424
    0.785398      3.39081      1098.56    -0.965103
    0.785398      3.55226      992.988    -0.963437
    0.785398      3.72141      886.677    -0.961323
    0.785398       3.8986      781.423    -0.958638
    0.785398      4.08424       679.42    -0.955245
    0.785398      4.27871      583.262     -0.95101
    0.785398      4.48245      497.674    -0.946013
    0.785398      4.69588      426.272    -0.940626
    0.785398      4.91948      363.666    -0.934549
    0.785398      5.15372      309.748    -0.927871
    0.785398      5.39912      264.151    -0.920793
    0.785398      5.65621      226.221    -0.913623
    0.785398      5.92553       195.02    -0.906713
    0.785398      6.20768      169.317    -0.900304
    0.785398      6.50326      147.583    -0.894259
    0.785398      6.81292      127.491    -0.887339
    0.785398      7.13732      109.025    -0.879187
    0.785398      7.47717      92.4199    -0.869719
    0.785398       7.8332      77.7431    -0.858831
    0.785398      8.20619      65.0773    -0.846682
    0.785398      8.59693      54.0953    -0.832815
    0.785398      9.00628      45.1362    -0.818943
    0.785398      9.43512      38.5961     -0.80916
    0.785398      9.88438      33.2037    -0.800834
    0.785398       10.355      28.1547    -0.790078
    0.785398      10.8481        23.73     -0.77824
    0.785398      11.3646      20.1954    -0.768659
    0.785398      11.9058      17.1332    -0.758742
    0.785398      12.4727      14.4939    -0.748495
    0.785398      13.0666      12.2336    -0.738023
    0.785398      13.6887      10.3148    -0.727616
    0.785398      14.3405      8.71228    -0.718046
    0.785398      15.0234      7.35356     -0.70872
    0.785398      15.7387      6.20923    -0.699961
    0.785398      16.4881      5.24279    -0.691652
    0.785398      17.2732      4.42282    -0.683526
    0.785398      18.0957      3.72895    -0.675658
    0.785398      18.9574      3.14409     -0.66823
    0.785398        19.86      2.64818     -0.66087
    0.785398      20.8057      2.22797    -0.653519
    0.785398      21.7964      1.87231    -0.646146
    0.785398      22.8342      1.57191    -0.638785
    0.785398      23.9215      1.31941    -0.631677
    0.785398      25.0605      1.10741    -0.624867
    0.785398      26.2538     0.929059    -0.618211
    0.785398      27.5039     0.779128    -0.611708
    0.785398      28.8135     0.653306    -0.605443
    0.785398      30.1855     0.547429    -0.599195
    0.785398      31.6228     0.458592    -0.593113
#   Phi[rad]  Energy[keV]            I          Q/I
      1.0472     0.316228      1197.29    -0.939809
      1.0472     0.331285      1222.55    -0.937996
      1.0472      0.34706       1239.2    -0.935863
      1.0472     0.363585      1247.32    -0.933448
      1.0472     0.380897      1248.69    -0.930888
      1.0472     0.399034      1237.22    -0.927907
      1.0472     0.418034      1220.71    -0.925017
      1.0472      0.43794      1203.51    -0.921401
      1.0472     0.458792      1184.65    -0.918339
      1.0472     0.480638       1158.8    -0.908874
      1.0472     0.503524      1132.17    -0.916228
      1.0472       0.5275      1096.75    -0.951387
      1.0472     0.552617      1071.06    -0.954012
      1.0472      0.57893      1042.55    -0.944455
      1.0472     0.606496      1037.69    -0.939573
      1.0472     0.635375       1025.1    -0.937407
      1.0472     0.665629      1052.74    -0.942634
      1.0472     0.697324      1064.99    -0.940076
      1.0472     0.730527      1125.19    -0.939668
      1.0472     0.765312      1198.59     -0.94038
      1.0472     0.801753      1308.87    -0.942872
      1.0472     0.839929      1431.76    -0.946916
      1.0472     0.879923      1548.43    -0.950317
      1.0472     0.921821      1657.51    -0.952678
      1.0472     0.965714      1783.59    -0.955583
      1.0472       1.0117      1868.41    -0.957179
      1.0472      1.05987      1954.48    -0.958894
      1.0472      1.11034      2041.05     -0.96035
      1.0472      1.16321      2120.97    -0.961597
      1.0472      1.21859      2184.93    -0.962656
      1.0472      1.27662      2221.27    -0.963536
      1.0472       1.3374      2226.31    -0.963954
      1.0472      1.40109      2223.97    -0.964063
      1.0472       1.4678      2215.16    -0.964134
      1.0472      1.53769      2199.64    -0.964174
      1.0472      1.61091      2177.07    -0.964167
      1.0472      1.68761      2147.14    -0.964131
      1.0472      1.76797      2109.49    -0.964079
      1.0472      1.85215      2063.79    -0.964005
      1.0472      1.94034      2009.74    -0.963904
      1.0472      2.03274      1947.08    -0.963765
      1.0472      2.12953      1875.68    -0.963575
      1.0472      2.23092      1795.51    -0.963316
      1.0472      2.33715      1706.72    -0.962967
      1.0472      2.44844      1609.67    -0.962503
      1.0472      2.56502      1515.93    -0.961952
      1.0472      2.68716      1437.87    -0.961413
      1.0472      2.81511      1355.56     -0.96077
      1.0472      2.94915      1269.23    -0.959992
      1.0472      3.08958      1179.25    -0.959041
      1.0472      3.23669      1086.18    -0.957866
      1.0472      3.39081      990.782    -0.956402
      1.0472      3.55226      894.053    -0.954573
      1.0472      3.72141       797.27    -0.952271
      1.0472       3.8986      702.013    -0.949369
      1.0472      4.08424      610.181    -0.945724
      1.0472      4.27871      523.985    -0.941204
      1.0472      4.48245      447.472     -0.93589
      1.0472      4.69588      383.676    -0.930175
      1.0472      4.91948      327.871    -0.923779
      1.0472      5.15372      279.935    -0.916824
      1.0472      5.39912      239.512    -0.909555
      1.0472      5.65621      205.994    -0.902333
      1.0472      5.92553      178.499    -0.895548
      1.0472      6.20768       155.87    -0.889439
      1.0472      6.50326      136.687     -0.88383
      1.0472      6.81292      118.899    -0.877514
      1.0472      7.13732      102.374    -0.870025
      1.0472      7.47717      87.3293    -0.861233
      1.0472       7.8332      73.8719    -0.851007
      1.0472      8.20619      62.1338    -0.839498
      1.0472      8.59693      51.9277    -0.826497
      1.0472      9.00628      43.6027    -0.813832
      1.0472      9.43512      37.4258     -0.80485
      1.0472      9.88438       32.281    -0.797142
      1.0472       10.355      27.4595    -0.787214
      1.0472      10.8481      23.2173    -0.776293
      1.0472      11.3646      19.7794    -0.767123
      1.0472      11.9058       16.804    -0.757751
      1.0472      12.4727      14.2402     -0.74818
      1.0472      13.0666      12.0426     -0.73848
      1.0472      13.6887      10.1719    -0.728845
      1.0472      14.3405      8.59868    -0.719769
      1.0472      15.0234      7.26213    -0.710879
      1.0472      15.7387      6.13312    -0.702417
      1.0472      16.4881      5.17767    -0.694284
      1.0472      17.2732       4.3673    -0.686327
      1.0472      18.0957      3.68145    -0.678595
      1.0472      18.9574      3.10287    -0.671229
      1.0472        19.86      2.61281    -0.663968
      1.0472      20.8057      2.19797    -0.656761
      1.0472      21.7964      1.84715     -0.64958
      1.0472      22.8342      1.55096    -0.642444
      1.0472      23.9215      1.30186    -0.635517
      1.0472      25.0605      1.09258    -0.628835
      1.0472      26.2538     0.916536    -0.622306
      1.0472      27.5039     0.768553    -0.615928
      1.0472      28.8135     0.644342    -0.609755
      1.0472      30.1855     0.539894    -0.603638
      1.0472      31.6228     0.452252    -0.597675
#   Phi[rad]  Energy[keV]            I          Q/I
       1.309     0.316228      1158.14    -0.950245
       1.309     0.331285      1182.44    -0.948923
       1.309      0.34706      1198.08    -0.947294
       1.309     0.363585      1205.14    -0.945368
       1.309     0.380897      1205.54    -0.943245
       1.309     0.399034      1193.17    -0.940658
       1.309     0.418034      1175.79    -0.937991
       1.309      0.43794      1157.55    -0.934838
       1.309     0.458792      1139.28    -0.931878
       1.309     0.480638      1115.71    -0.925386
       1.309     0.503524      1091.47    -0.928027
       1.309       0.5275      1058.03    -0.945482
       1.309     0.552617       1036.3    -0.945646
       1.309      0.57893      1014.54     -0.93902
       1.309     0.606496      1013.82    -0.934518
       1.309     0.635375      1004.32    -0.932573
       1.309     0.665629      1032.84    -0.945369
       1.309     0.697324      1047.16    -0.948093
       1.309     0.730527      1107.74    -0.944366
       1.309     0.765312      1181.41    -0.944292
       1.309     0.801753      1289.35    -0.946325
       1.309     0.839929      1407.68    -0.949964
       1.309     0.879923      1518.56    -0.952865
       1.309     0.921821      1622.22    -0.954708
       1.309     0.965714      1741.57    -0.957326
